Country,City,Location_Type,Latitude,Longitude,AQI,PM2_5,NO2,SO2,O3,CO,PM10,Temperature,Humidity,Wind_Speed,Weather_Condition
India,Thane,Sector_3,19.3192,73.38423,5.0,213.77,8.93,36.0,215.7,967.12,241.36,24.58,41,0.22,Clear
India,Thane,Sector_4,19.32641,73.38476,5.0,213.77,8.93,36.0,215.7,967.12,241.36,24.25,41,0.02,Clear
India,Bhopal,City Center,23.2584857,77.401989,4.0,72.52,4.95,2.29,65.94,323.52,78.56,16.99,59,2.57,Haze
India,Bhopal,Sector_1,23.23264,77.41403,4.0,72.52,4.95,2.29,65.94,323.52,78.56,17.04,59,2.57,Haze
India,Bhopal,Sector_2,23.23681,77.42635,4.0,72.52,4.95,2.29,65.94,323.52,78.56,16.93,59,2.57,Haze
India,Bhopal,Sector_3,23.26753,77.41546,4.0,72.52,4.95,2.29,65.94,323.52,78.56,17.16,59,2.57,Haze
India,Bhopal,Sector_4,23.29156,77.40514,4.0,72.52,4.95,2.29,65.94,323.52,78.56,17.16,59,2.57,Haze
India,Visakhapatnam,City Center,17.6935526,83.2921297,5.0,200.53,2.14,9.5,175.78,533.59,214.35,21.1,88,1.03,Mist
India,Visakhapatnam,Sector_1,17.66427,83.26493,5.0,200.53,2.14,9.5,175.78,533.59,214.35,20.95,88,1.03,Mist
India,Visakhapatnam,Sector_2,17.67438,83.31159,5.0,200.53,2.14,9.5,175.78,533.59,214.35,21.18,88,1.03,Mist
India,Visakhapatnam,Sector_3,17.73676,83.29205,5.0,200.53,2.14,9.5,175.78,533.59,214.35,21.0,88,1.03,Mist
India,Visakhapatnam,Sector_4,17.68461,83.28426,5.0,200.53,2.14,9.5,175.78,533.59,214.35,20.78,88,1.03,Mist
India,Pimpri-Chinchwad,City Center,18.6279288,73.8009829,5.0,111.23,5.33,12.81,136.51,417.94,119.54,23.47,40,1.26,Clear
India,Pimpri-Chinchwad,Sector_1,18.65034,73.82146,5.0,111.23,5.33,12.81,136.51,417.94,119.54,23.2,40,1.34,Clear
India,Pimpri-Chinchwad,Sector_2,18.63154,73.78842,5.0,121.94,4.21,14.13,154.52,441.0,132.62,23.45,40,1.26,Clear
India,Pimpri-Chinchwad,Sector_3,18.63442,73.77651,5.0,121.94,4.21,14.13,154.52,441.0,132.62,23.44,40,1.26,Clear
India,Pimpri-Chinchwad,Sector_4,18.6331,73.78686,5.0,121.94,4.21,14.13,154.52,441.0,132.62,23.45,40,1.26,Clear
India,Patna,City Center,25.6093239,85.1235252,5.0,209.33,16.75,7.75,80.87,1074.69,243.45,18.97,82,2.06,Fog
India,Patna,Sector_1,25.58954,85.14191,5.0,188.91,14.44,6.81,79.74,922.25,219.1,18.97,82,2.06,Fog
India,Patna,Sector_2,25.57147,85.14494,5.0,188.91,14.44,6.81,79.74,922.25,219.1,19.01,82,2.06,Fog
India,Patna,Sector_3,25.60193,85.08145,5.0,209.33,16.75,7.75,80.87,1074.69,243.45,18.95,82,2.06,Fog
India,Patna,Sector_4,25.60239,85.15078,5.0,209.33,16.75,7.75,80.87,1074.69,243.45,18.97,82,2.06,Fog
India,Vadodara,City Center,22.2973142,73.1942567,5.0,142.58,11.87,19.76,140.89,570.24,155.76,21.98,60,1.03,Haze
India,Vadodara,Sector_1,22.31391,73.20132,5.0,137.45,14.03,21.37,137.6,579.46,151.2,20.99,64,2.06,Haze
India,Vadodara,Sector_2,22.29496,73.18228,5.0,142.58,11.87,19.76,140.89,570.24,155.76,21.03,64,2.06,Haze
India,Vadodara,Sector_3,22.31011,73.23386,5.0,137.45,14.03,21.37,137.6,579.46,151.2,21.0,64,2.06,Haze
India,Vadodara,Sector_4,22.26659,73.17408,5.0,142.58,11.87,19.76,140.89,570.24,155.76,21.03,64,2.06,Haze
India,Ghaziabad,City Center,28.7749966,77.4586967,5.0,199.78,36.72,5.05,42.32,1093.13,254.22,19.82,28,2.16,Clear
India,Ghaziabad,Sector_1,28.79356,77.4152,5.0,199.78,36.72,5.05,42.32,1093.13,254.22,19.88,28,2.17,Clear
India,Ghaziabad,Sector_2,28.78528,77.46545,5.0,199.78,36.72,5.05,42.32,1093.13,254.22,19.17,29,2.26,Clear
India,Ghaziabad,Sector_3,28.73113,77.45964,5.0,199.78,36.72,5.05,42.32,1093.13,254.22,20.11,27,2.09,Clear
India,Ghaziabad,Sector_4,28.79047,77.46466,5.0,199.78,36.72,5.05,42.32,1093.13,254.22,19.49,29,2.22,Clear
India,Ludhiana,City Center,30.9090157,75.851601,5.0,225.55,25.48,4.15,74.64,1308.47,275.16,16.33,33,2.28,Clouds
India,Ludhiana,Sector_1,30.90433,75.83774,5.0,225.55,25.48,4.15,74.64,1308.47,275.16,16.33,33,2.28,Clouds
India,Ludhiana,Sector_2,30.92852,75.81194,5.0,225.55,25.48,4.15,74.64,1308.47,275.16,16.39,33,2.22,Clouds
India,Ludhiana,Sector_3,30.93282,75.86008,5.0,225.55,25.48,4.15,74.64,1308.47,275.16,16.23,34,2.27,Clouds
India,Ludhiana,Sector_4,30.91528,75.88796,5.0,225.55,25.48,4.15,74.64,1308.47,275.16,16.17,34,2.35,Clouds
India,Agra,City Center,27.1752554,78.0098161,5.0,159.47,13.07,4.97,103.06,620.47,206.46,18.22,34,1.13,Clear
India,Agra,Sector_1,27.14406,78.02774,5.0,159.47,13.07,4.97,103.06,620.47,206.46,18.1,34,1.16,Clear
India,Agra,Sector_2,27.15052,77.97241,5.0,167.92,14.2,4.97,101.55,656.84,218.69,18.15,34,1.11,Clear
India,Agra,Sector_3,27.2053,78.0132,5.0,169.46,17.25,6.47,101.48,695.5,218.52,18.32,34,1.09,Clear
India,Agra,Sector_4,27.16888,77.9824,5.0,167.92,14.2,4.97,101.55,656.84,218.69,18.15,34,1.11,Clear
India,Nashik,City Center,20.0112475,73.7902364,5.0,179.62,31.77,32.33,126.03,1113.2,212.88,21.01,38,2.21,Clear
India,Nashik,Sector_1,20.00742,73.76649,5.0,179.62,31.77,32.33,126.03,1113.2,212.88,21.01,38,2.29,Clear
India,Nashik,Sector_2,20.03367,73.75545,5.0,179.62,31.77,32.33,126.03,1113.2,212.88,20.79,38,2.26,Clear
India,Nashik,Sector_3,20.0052,73.80229,5.0,166.56,38.68,31.77,104.96,1156.07,201.34,21.01,38,2.21,Clear
India,Nashik,Sector_4,20.0082,73.76029,5.0,179.62,31.77,32.33,126.03,1113.2,212.88,21.01,38,2.29,Clear
India,Faridabad,City Center,28.4031478,77.3105561,5.0,194.05,32.99,7.26,59.47,988.75,251.03,16.14,26,2.37,Clear
India,Faridabad,Sector_1,28.41693,77.30895,5.0,194.05,32.99,7.26,59.47,988.75,251.03,16.15,26,2.37,Clear
India,Faridabad,Sector_2,28.42859,77.323,5.0,194.05,32.99,7.26,59.47,988.75,251.03,16.14,26,2.31,Clear
India,Faridabad,Sector_3,28.39548,77.28934,5.0,194.29,32.48,9.05,67.48,955.63,250.24,16.13,27,2.46,Clear
India,Faridabad,Sector_4,28.3873,77.3168,5.0,194.29,32.48,9.05,67.48,955.63,250.24,16.17,27,2.43,Clear
India,Meerut,City Center,29.0018557,77.7679671,5.0,222.29,38.59,6.21,52.85,1276.5,279.34,18.22,30,1.74,Clear
India,Meerut,Sector_1,29.00357,77.7887,5.0,222.29,38.59,6.21,52.85,1276.5,279.34,18.22,30,1.74,Clear
India,Meerut,Sector_2,28.97977,77.77286,5.0,212.85,37.72,5.78,46.05,1200.58,268.05,18.22,30,1.74,Clear
India,Meerut,Sector_3,29.03043,77.7755,5.0,222.29,38.59,6.21,52.85,1276.5,279.34,18.11,31,1.68,Clear
India,Meerut,Sector_4,29.04296,77.78764,5.0,222.29,38.59,6.21,52.85,1276.5,279.34,17.96,31,1.63,Clear
India,Rajkot,City Center,22.3053263,70.8028377,5.0,155.76,11.61,8.3,122.62,620.5,169.13,27.29,41,4.01,Clear
India,Rajkot,Sector_1,22.33737,70.81913,5.0,155.76,11.61,8.3,122.62,620.5,169.13,27.35,41,4.12,Clear
India,Rajkot,Sector_2,22.29023,70.82349,5.0,155.76,11.61,8.3,122.62,620.5,169.13,27.24,41,4.0,Clear
India,Rajkot,Sector_3,22.29778,70.79594,5.0,148.8,8.92,9.27,133.73,565.95,160.83,27.25,41,3.94,Clear
India,Rajkot,Sector_4,22.29208,70.78998,5.0,148.8,8.92,9.27,133.73,565.95,160.83,27.22,41,3.94,Clear
India,Kalyan-Dombivli,City Center,19.2391602,73.1293186,5.0,196.55,6.69,32.71,216.58,834.47,220.17,26.08,40,1.21,Clear
