id,lat,lon,aqi,pm25,pm10,no2,so2,co,o3,temp_c,humidity,wind_speed,wind_deg,weather_desc,roads,industrial,farmland,dump
pt_00092,10.338796,77.731343,60.0,,60.0,1.5,9.1,4.9,,20.99,56.0,2.91,37.0,overcast clouds,5,0,0,0
pt_00093,10.338796,77.959627,60.0,,60.0,1.5,9.1,4.9,,26.02,59.0,3.4,13.0,overcast clouds,49,0,0,0
pt_00094,10.338796,78.187911,60.0,,60.0,1.5,9.1,4.9,,24.46,64.0,3.95,13.0,overcast clouds,0,0,0,0
pt_00095,10.338796,78.416195,60.0,,60.0,1.5,9.1,4.9,,26.03,65.0,5.35,14.0,overcast clouds,1,0,0,0
pt_00096,10.338796,78.64448,60.0,,60.0,1.5,9.1,4.9,,27.02,62.0,6.76,11.0,overcast clouds,9,0,0,0
pt_00097,10.338796,78.872764,60.0,,60.0,1.5,9.1,4.9,,27.4,61.0,7.11,16.0,overcast clouds,10,0,0,0
pt_00098,10.338796,79.101048,77.0,,77.0,0.9,2.0,3.2,1.9,27.66,61.0,7.35,22.0,overcast clouds,10,0,0,0
pt_00099,10.338796,79.329333,77.0,,77.0,0.9,2.0,3.2,1.9,27.55,65.0,7.96,15.0,overcast clouds,1,0,0,0
pt_00100,10.338796,79.557617,77.0,,77.0,0.9,2.0,3.2,1.9,26.52,72.0,8.65,8.0,overcast clouds,0,0,0,0
pt_00101,10.338796,79.785901,77.0,,77.0,0.9,2.0,3.2,1.9,26.42,74.0,9.1,14.0,overcast clouds,1,0,0,0
pt_00102,10.563373,76.139131,93.0,93.0,51.0,3.3,0.4,2.6,12.4,29.99,45.0,5.67,54.0,overcast clouds,35,0,2,0
pt_00103,10.563373,76.367581,93.0,93.0,51.0,3.3,0.4,2.6,12.4,29.67,42.0,3.64,61.0,overcast clouds,52,0,0,0
pt_00104,10.563373,76.59603,93.0,93.0,51.0,3.3,0.4,2.6,12.4,28.86,50.0,4.26,66.0,overcast clouds,7,0,3,0
pt_00105,10.563373,76.82448,140.0,140.0,72.0,7.9,9.5,3.8,6.6,26.93,58.0,4.73,62.0,overcast clouds,8,0,0,0
pt_00106,10.563373,77.052929,140.0,140.0,72.0,7.9,9.5,3.8,6.6,24.99,66.0,4.09,66.0,overcast clouds,4,0,0,0
pt_00107,10.563373,77.281378,140.0,140.0,72.0,7.9,9.5,3.8,6.6,24.01,65.0,2.58,64.0,overcast clouds,22,0,0,0
pt_00108,10.563373,77.509828,60.0,,60.0,1.5,9.1,4.9,,24.93,63.0,2.39,21.0,overcast clouds,15,0,0,0
pt_00109,10.563373,77.738277,60.0,,60.0,1.5,9.1,4.9,,25.48,59.0,2.83,4.0,overcast clouds,10,0,0,0
pt_00110,10.563373,77.966727,60.0,,60.0,1.5,9.1,4.9,,26.24,56.0,2.63,354.0,overcast clouds,0,0,0,0
pt_00111,10.563373,78.195176,60.0,,60.0,1.5,9.1,4.9,,25.35,61.0,3.41,11.0,scattered clouds,1,0,0,0
pt_00112,10.563373,78.423625,60.0,,60.0,1.5,9.1,4.9,,26.25,63.0,4.55,18.0,broken clouds,0,0,0,0
pt_00113,10.563373,78.652075,60.0,,60.0,1.5,9.1,4.9,,29.79,62.0,6.23,14.0,overcast clouds,3,0,0,0
pt_00114,10.563373,78.880524,60.0,,60.0,1.5,9.1,4.9,,29.94,61.0,7.18,15.0,overcast clouds,7,0,0,0
pt_00115,10.563373,79.108973,60.0,,60.0,1.5,9.1,4.9,,27.2,63.0,7.18,21.0,overcast clouds,20,0,0,0
pt_00116,10.563373,79.337423,77.0,,77.0,0.9,2.0,3.2,1.9,27.34,65.0,7.22,19.0,overcast clouds,3,0,0,0
pt_00117,10.563373,79.565872,160.0,160.0,75.0,8.0,3.0,6.1,40.1,27.24,68.0,7.09,9.0,overcast clouds,13,0,0,0
