id,lat,lon
pt_00155,11.237107,76.157258
pt_00156,11.237107,76.386225
pt_00157,11.237107,76.615193
pt_00158,11.237107,76.84416
pt_00159,11.237107,77.073127
pt_00160,11.237107,77.302095
pt_00161,11.237107,77.531062
pt_00162,11.237107,77.760029
pt_00163,11.237107,77.988996
pt_00164,11.237107,78.217964
pt_00165,11.237107,78.446931
pt_00166,11.237107,78.675898
pt_00167,11.237107,78.904866
pt_00168,11.237107,79.133833
pt_00169,11.237107,79.3628
pt_00170,11.237107,79.591767
pt_00171,11.237107,79.820735
pt_00172,11.461685,75.70527
pt_00173,11.461685,75.934418
pt_00174,11.461685,76.163565
pt_00175,11.461685,76.392713
pt_00176,11.461685,76.62186
pt_00177,11.461685,76.851008
pt_00178,11.461685,77.080155
pt_00179,11.461685,77.309303
pt_00180,11.461685,77.53845
pt_00181,11.461685,77.767598
pt_00182,11.461685,77.996745
pt_00183,11.461685,78.225893
pt_00184,11.461685,78.45504
pt_00185,11.461685,78.684188
pt_00186,11.461685,78.913335
pt_00187,11.461685,79.142483
pt_00188,11.461685,79.37163
pt_00189,11.461685,79.600778
pt_00190,11.461685,92.662185
pt_00191,11.686262,75.711343
pt_00192,11.686262,75.940674
pt_00193,11.686262,76.170006
pt_00194,11.686262,76.399338
pt_00195,11.686262,76.628669
pt_00196,11.686262,76.858001
pt_00197,11.686262,77.087332
pt_00198,11.686262,77.316664
pt_00199,11.686262,77.545995
pt_00200,11.686262,77.775327
pt_00201,11.686262,78.004658
pt_00202,11.686262,78.23399
pt_00203,11.686262,78.463321
pt_00204,11.686262,78.692653
pt_00205,11.686262,78.921984
pt_00206,11.686262,79.151316
pt_00207,11.686262,79.380647
pt_00208,11.686262,79.609979
pt_00209,11.686262,92.681875
pt_00210,11.91084,75.488022
pt_00211,11.91084,75.717542
pt_00212,11.91084,75.947061
pt_00213,11.91084,76.17658
pt_00214,11.91084,76.4061
pt_00215,11.91084,76.635619
pt_00216,11.91084,76.865139
pt_00217,11.91084,77.094658
pt_00218,11.91084,77.324177
pt_00219,11.91084,77.553697
pt_00220,11.91084,77.783216
pt_00221,11.91084,78.012735
pt_00222,11.91084,78.242255
pt_00223,11.91084,78.471774
pt_00224,11.91084,78.701293
pt_00225,11.91084,78.930813
pt_00226,11.91084,79.160332
pt_00227,11.91084,79.389851
pt_00228,11.91084,79.619371
pt_00229,11.91084,92.701974
pt_00230,12.135418,75.264445
pt_00231,12.135418,75.494156
pt_00232,12.135418,75.723867
pt_00233,12.135418,75.953578
pt_00234,12.135418,76.183289
