city,latitude,longitude,PM25 AQ,PM25 AQI Category,PM10 AQ,PM10 AQI Category,CO AQ,CO AQI Category,NO2 AQ,NO2 AQI Category,SO2 AQ,SO2 AQI Category,O3 AQ,O3 AQI Category,AQI
Panagar,23.2848018,79.9958767,54.78,Satisfactory,58.93,Satisfactory,288.32,Poor,2.86,Good,2.03,Good,81.8,Satisfactory,4
Alang,21.3968581,72.1774463,76.78,Satisfactory,82.38,Satisfactory,300.99,Very Poor,5.47,Good,19.93,Good,122.63,Moderate,5
Torpa,22.9265571,85.0842705,389.83,Very Poor,412.46,Severe,937.68,Severe,10.93,Good,26.65,Good,130.12,Moderate,5
Sangrur,30.2432006,75.8358123,128.53,Moderate,161.1,Moderate,820.23,Severe,13.43,Good,6.6,Good,105.98,Moderate,5
Anand,22.5586555,72.9627227,81.55,Satisfactory,91.2,Satisfactory,425.02,Severe,9.3,Good,6.78,Good,116.46,Moderate,5
Nellore,14.4493717,79.9873763,74.77,Satisfactory,83.56,Satisfactory,353.98,Very Poor,5.7,Good,2.69,Good,99.32,Satisfactory,4
Zankhvav,21.4512994,73.3205248,60.23,Satisfactory,67.1,Satisfactory,391.44,Very Poor,19.82,Good,32.13,Good,97.52,Satisfactory,4
Khuntuni,20.5627489,85.7266954,263.36,Poor,278.07,Poor,732.8,Severe,4.97,Good,9.25,Good,148.62,Moderate,5
Mandvi,21.254926,73.3046407,65.82,Satisfactory,72.58,Satisfactory,391.1,Very Poor,18.72,Good,31.7,Good,99.87,Satisfactory,4
Kalyan-Dombivli,19.2391602,73.1293186,145.82,Moderate,159.9,Moderate,555.72,Severe,4.99,Good,16.8,Good,207.95,Poor,5
Pimpri-Chinchwad,18.6279288,73.8009829,108.06,Moderate,114.69,Moderate,380.84,Very Poor,4.52,Good,6.03,Good,144.19,Moderate,5
Vasai-Virar,19.4210423,72.8197221,144.99,Moderate,158.71,Moderate,560.73,Severe,5.07,Good,18.34,Good,211.31,Poor,5
Durg,21.1896499,81.2851077,174.82,Moderate,182.37,Moderate,490.49,Severe,6.95,Good,10.25,Good,89.43,Satisfactory,5
Bardoli,21.1220023,73.1135988,82.27,Satisfactory,89.09,Satisfactory,392.05,Very Poor,15.2,Good,32.08,Good,110.74,Moderate,5
Kalyani,22.9749723,88.4345915,374.39,Very Poor,409.02,Severe,1375.13,Severe,19.6,Good,30.99,Good,157.84,Moderate,5
Attingal,8.6985965,76.8134401,69.14,Satisfactory,75.53,Satisfactory,227.21,Poor,0.75,Good,1.79,Good,128.23,Moderate,4
Shuklaganj,26.4789045,80.388953,171.18,Moderate,182.18,Moderate,660.09,Severe,9.89,Good,2.79,Good,69.12,Satisfactory,5
Pakur,24.6392767,87.8423714,364.97,Very Poor,398.14,Very Poor,1714.62,Severe,50.5,Satisfactory,48.34,Good,77.24,Satisfactory,5
Gumla,23.0426077,84.5422286,337.71,Very Poor,359.58,Very Poor,843.73,Severe,20.61,Good,32.01,Good,100.35,Moderate,5
Padubidri,13.1412169,74.7707857,67.46,Satisfactory,72.44,Satisfactory,271.5,Poor,0.53,Good,1.01,Good,127.92,Moderate,4
Mannargudi,10.6673278,79.4443834,25.19,Good,32.69,Good,199.1,Moderate,5.67,Good,3.84,Good,85.33,Satisfactory,3
Kuttanallur,10.7102438,79.5176785,25.19,Good,32.69,Good,199.1,Moderate,5.67,Good,3.84,Good,85.33,Satisfactory,3
Melukote,12.6624052,76.649649,65.08,Satisfactory,77.91,Satisfactory,490.62,Severe,18.29,Good,7.3,Good,107.21,Moderate,4
Puthuppally,9.5593525,76.5715284,64.07,Satisfactory,70.8,Satisfactory,228.69,Poor,0.79,Good,3.0,Good,126.77,Moderate,4
Reodhar,24.6193158,72.5263414,115.29,Moderate,184.55,Moderate,518.22,Severe,17.14,Good,3.63,Good,82.69,Satisfactory,5
Raniwar,24.7517805,72.2041022,141.2,Moderate,236.37,Poor,541.7,Severe,12.45,Good,2.52,Good,86.36,Satisfactory,5
Anakkara,9.6646996,77.1580992,64.74,Satisfactory,72.07,Satisfactory,257.58,Poor,2.66,Good,4.14,Good,131.13,Moderate,4
Pallipalayam,11.3652431,77.7482633,71.17,Satisfactory,85.49,Satisfactory,462.46,Severe,19.13,Good,7.42,Good,77.83,Satisfactory,4
Rangapara,26.8177808,92.6862372,20.93,Good,23.5,Good,195.28,Moderate,3.1,Good,1.44,Good,70.66,Satisfactory,2
Karaikudi,10.0728444,78.7795194,27.14,Good,33.34,Good,204.25,Poor,6.7,Good,5.79,Good,90.24,Satisfactory,3
Chandannagar,22.8639237,88.3703496,391.78,Very Poor,422.6,Severe,1343.8,Severe,16.36,Good,31.05,Good,168.44,Moderate,5
Singrauli,24.1974432,82.6661453,83.89,Satisfactory,88.57,Satisfactory,385.3,Very Poor,6.93,Good,4.1,Good,91.74,Satisfactory,5
Doimukh,27.150677,93.7549422,43.85,Good,53.03,Satisfactory,402.13,Severe,10.16,Good,2.09,Good,30.49,Good,3
Tuli,26.6796166,94.6451344,23.96,Good,28.05,Good,279.52,Poor,11.9,Good,1.41,Good,30.32,Good,2
Longleng,26.4888846,94.8131535,23.14,Good,26.81,Good,279.0,Poor,11.71,Good,1.35,Good,32.19,Good,2
Nokha,27.5574906,73.472363,126.31,Moderate,177.46,Moderate,530.53,Severe,9.44,Good,4.34,Good,98.46,Satisfactory,5
Munger,25.3773519,86.4731039,231.15,Poor,249.89,Poor,1051.95,Severe,13.43,Good,4.05,Good,81.56,Satisfactory,5
Joida,15.1645515,74.4850675,36.4,Good,40.78,Good,212.78,Poor,0.77,Good,1.06,Good,122.74,Moderate,3
Warthi,21.2366821,79.6449926,144.15,Moderate,153.23,Moderate,559.92,Severe,15.09,Good,12.28,Good,90.27,Satisfactory,5
Manihari,25.3413879,87.6195074,218.14,Poor,239.09,Poor,1105.13,Severe,21.82,Good,6.28,Good,92.05,Satisfactory,5
Brahmapur,19.3098134,84.7971562,193.47,Moderate,203.22,Poor,588.66,Severe,2.91,Good,5.15,Good,152.49,Moderate,5
Kadachira,11.8330744,75.4551155,101.17,Moderate,109.82,Moderate,312.52,Very Poor,0.8,Good,3.31,Good,144.46,Moderate,5
Sri Ganganagar,29.9270556,73.8761519,78.94,Satisfactory,129.46,Moderate,538.25,Severe,9.21,Good,1.34,Good,80.55,Satisfactory,5
