city,country,latitude,longitude,PM25 AQ,PM25 AQI Category,PM10 AQ,PM10 AQI Category,CO AQ,CO AQI Category,NO2 AQ,NO2 AQI Category,SO2 AQ,SO2 AQI Category,O3 AQ,O3 AQI Category,AQI,temperature,humidity,wind_speed,wind_deg,timestamp
Provincie Overijssel,NL,52.38829100007745,6.402899999997742,6.62,Good,12.57,Good,218.74,Unhealthy,26.44,Good,1.83,Good,21.52,Good,1,8.79,70,3.57,196,2025-12-11T14:49:46
Sint Anthonis,NL,51.5475,5.8382,2.63,Good,4.5,Good,165.8,Unhealthy,9.57,Good,0.79,Good,40.07,Good,1,8.75,90,3.09,190,2025-12-11T14:49:46
Kruisschot,NL,51.5359,5.80859,2.63,Good,4.5,Good,165.8,Unhealthy,9.57,Good,0.79,Good,40.07,Good,1,9.2,92,3.05,182,2025-12-11T14:49:46
Ulaanbaatar,MN,47.8943389,106.8824722,0.5,Good,0.77,Good,133.59,Unhealthy,1.25,Good,0.27,Good,67.17,Moderate,2,-26.94,69,1.0,0,2025-12-11T14:49:46
Nijmegen,NL,51.8413800001826,5.857771999792528,5.05,Good,9.19,Good,185.62,Unhealthy,16.06,Good,1.22,Good,33.53,Good,1,8.16,87,2.68,206,2025-12-11T14:49:46
Huai Khwang,TH,13.775373291477,100.56892844813,41.58,Unhealthy,53.08,Good,546.53,Unhealthy,5.31,Good,6.51,Good,81.43,Unhealthy,3,23.02,86,4.63,320,2025-12-11T14:49:46
Gemeente Amsterdam,NL,52.35971400001388,4.866208000411839,11.15,Good,17.11,Good,251.16,Unhealthy,35.08,Good,4.3,Good,15.31,Good,2,8.39,88,4.63,180,2025-12-11T14:49:46
Gemeente Beverwijk,NL,52.49399200004851,4.601986000379324,13.04,Moderate,19.33,Good,257.72,Unhealthy,35.19,Good,4.28,Good,17.73,Good,2,8.34,85,5.57,198,2025-12-11T14:43:40
Gemeente Velsen,NL,52.463040000051045,4.60177600031704,13.04,Moderate,19.33,Good,257.72,Unhealthy,35.19,Good,4.28,Good,17.73,Good,2,8.2,86,2.68,152,2025-12-11T14:49:46
Jordaan,NL,52.39397200025616,4.870156999790721,11.15,Good,17.11,Good,251.16,Unhealthy,35.08,Good,4.3,Good,15.31,Good,2,8.41,87,4.63,180,2025-12-11T14:49:46
Gemeente Maastricht,NL,50.8598,5.71381,3.52,Good,5.04,Good,162.26,Unhealthy,6.83,Good,0.59,Good,42.98,Good,1,11.24,79,3.6,180,2025-12-11T14:49:46
Schiphol,NL,52.33400300025121,4.7740060003231,11.76,Good,17.52,Good,248.8,Unhealthy,31.71,Good,3.84,Good,19.09,Good,2,8.29,91,4.63,180,2025-12-11T14:43:40
Zaandam,NL,52.42801700027339,4.7734780002434976,13.04,Moderate,19.33,Good,257.72,Unhealthy,35.19,Good,4.28,Good,17.73,Good,2,8.44,85,4.63,180,2025-12-11T14:43:40
Jordaan,NL,52.381331000231505,4.845232999687698,11.15,Good,17.11,Good,251.16,Unhealthy,35.08,Good,4.3,Good,15.31,Good,2,8.37,87,4.63,180,2025-12-11T14:49:47
Darya Ganj,IN,28.623499999999996,77.2494,97.17,Unhealthy,193.95,Unhealthy,823.38,Unhealthy,44.7,Good,10.01,Good,31.61,Good,5,17.12,59,0.0,0,2025-12-11T14:49:47
Amphoe Phra Pradaeng,TH,13.664087,100.543436,41.58,Unhealthy,53.08,Good,546.53,Unhealthy,5.31,Good,6.51,Good,81.43,Unhealthy,3,23.39,83,1.79,349,2025-12-11T14:49:47
Llaillay,CL,-32.833639,-70.99693,2.55,Good,4.99,Good,86.6,Unhealthy,0.97,Good,0.24,Good,34.35,Good,1,20.93,58,3.46,251,2025-12-11T14:49:47
Stanmore,GB,51.617327,-0.298775,3.6,Good,5.81,Good,134.77,Unhealthy,8.96,Good,3.22,Good,58.98,Moderate,1,10.76,83,5.66,180,2025-12-11T14:49:47
Lat Phrao,TH,13.792635009230002,100.59607755884001,41.58,Unhealthy,53.08,Good,546.53,Unhealthy,5.31,Good,6.51,Good,81.43,Unhealthy,3,22.98,88,4.63,320,2025-12-11T14:49:47
Alto Hospicio,CL,-20.259620485825,-70.088653564453,3.71,Good,5.94,Good,73.79,Unhealthy,0.3,Good,1.51,Good,59.98,Moderate,1,19.67,58,3.21,270,2025-12-11T14:49:47
Alto Hospicio,CL,-20.290859340668,-70.09955406189,3.71,Good,5.94,Good,73.79,Unhealthy,0.3,Good,1.51,Good,59.98,Moderate,1,17.77,60,3.05,264,2025-12-11T14:49:47
Hillingdon,GB,51.48878999962389,-0.44161399993549455,3.76,Good,5.9,Good,135.27,Unhealthy,8.33,Good,2.79,Good,59.78,Moderate,1,10.97,81,5.66,180,2025-12-11T14:49:47
Chengdu,CN,30.63,104.07,214.67,Unhealthy,236.61,Unhealthy,1400.67,Unhealthy,33.85,Good,19.48,Good,24.67,Good,5,12.0,87,2.0,360,2025-12-11T14:49:47
Xuhui,CN,31.21,121.44,67.95,Unhealthy,103.96,Moderate,1062.58,Unhealthy,82.47,Moderate,58.48,Moderate,2.49,Good,4,11.93,66,6.0,60,2025-12-11T14:49:47
Guangzhou,CN,23.12,113.32,264.68,Unhealthy,303.02,Unhealthy,1111.85,Unhealthy,66.38,Moderate,24.8,Good,21.77,Good,5,24.07,60,2.72,157,2025-12-11T14:49:47
Tocopilla,CL,-22.087,-70.193253,3.56,Good,9.86,Good,76.05,Unhealthy,0.11,Good,0.62,Good,58.3,Moderate,1,22.31,64,3.44,250,2025-12-11T14:49:47
Camberwell,GB,51.480499,-0.05955,3.22,Good,5.43,Good,135.91,Unhealthy,8.09,Good,2.85,Good,61.41,Moderate,2,11.21,80,4.63,180,2025-12-11T14:49:47
Eltham,GB,51.45258,0.070766,2.95,Good,5.2,Good,136.23,Unhealthy,7.97,Good,2.88,Good,62.23,Moderate,2,10.66,81,7.2,180,2025-12-11T14:49:47
London,GB,51.52229,-0.125889,3.22,Good,5.43,Good,135.91,Unhealthy,8.09,Good,2.85,Good,61.41,Moderate,2,11.12,80,5.14,180,2025-12-11T14:42:48
Acton,GB,51.5189160348806,-0.265652052386222,3.49,Good,5.67,Good,135.59,Unhealthy,8.21,Good,2.82,Good,60.6,Moderate,2,11.04,81,5.66,180,2025-12-11T14:49:47
Crouch End,GB,51.58412799971813,-0.1252540000016108,3.22,Good,5.43,Good,135.91,Unhealthy,8.09,Good,2.85,Good,61.41,Moderate,2,11.0,81,4.63,180,2025-12-11T14:49:47
Tower Hamlets,GB,51.5225294860844,-0.0421550991900347,3.22,Good,5.43,Good,135.91,Unhealthy,8.09,Good,2.85,Good,61.41,Moderate,2,11.11,81,4.63,180,2025-12-11T14:49:47
Belsize Park,GB,51.54421,-0.175269,3.22,Good,5.43,Good,135.91,Unhealthy,8.09,Good,2.85,Good,61.41,Moderate,2,10.85,81,5.14,180,2025-12-11T14:49:47
West Drayton,GB,51.49632999971629,-0.4608609995824734,3.76,Good,5.9,Good,135.27,Unhealthy,8.33,Good,2.79,Good,59.78,Moderate,1,10.93,81,5.66,180,2025-12-11T14:49:47
Paddington,GB,51.52252999942243,-0.15461100008049963,3.22,Good,5.43,Good,135.91,Unhealthy,8.09,Good,2.85,Good,61.41,Moderate,2,11.04,80,5.14,180,2025-12-11T14:49:47
Notting Hill,GB,51.52105,-0.21349199999999996,3.49,Good,5.67,Good,135.59,Unhealthy,8.21,Good,2.82,Good,60.6,Moderate,2,11.1,80,5.66,180,2025-12-11T14:49:47
Teddington,GB,51.42099,-0.339647,3.49,Good,5.67,Good,135.59,Unhealthy,8.21,Good,2.82,Good,60.6,Moderate,2,11.09,80,5.66,180,2025-12-11T14:49:47
Bexleyheath,GB,51.4659832746662,0.184877126994369,2.95,Good,5.2,Good,136.23,Unhealthy,7.97,Good,2.88,Good,62.23,Moderate,2,11.08,83,7.2,180,2025-12-11T14:49:47
Teddington,GB,51.425285999344624,-0.3456059996846904,3.49,Good,5.67,Good,135.59,Unhealthy,8.21,Good,2.82,Good,60.6,Moderate,2,11.1,80,5.66,180,2025-12-11T14:49:47
City of Westminster,GB,51.4946699996591,-0.13193099964204494,3.22,Good,5.43,Good,135.91,Unhealthy,8.09,Good,2.85,Good,61.41,Moderate,2,11.17,80,4.63,180,2025-12-11T14:49:47
Londonderry,GB,55.001225,-7.329115,0.84,Good,0.96,Good,117.25,Unhealthy,1.39,Good,0.26,Good,77.68,Unhealthy,2,9.83,87,4.63,210,2025-12-11T14:49:47
Galena Park,US,29.7337263,-95.2575931,8.26,Good,11.01,Good,189.09,Unhealthy,8.78,Good,3.79,Good,57.95,Moderate,1,11.13,58,5.14,90,2025-12-11T14:49:47
