location_id,city,latitude,longitude
245630791,Mundaragi,15.2051817,75.8840183
245630803,Kandukur,15.213,79.9071
245630859,Shirahatti,15.234576,75.5791999
245630941,Kundagola,15.2565128,75.2478662
245631144,Kamalapura,15.3044681,76.4756219
245631185,Sirvel,15.3211685,78.5344897
245631205,Haliyal,15.3299733,74.7646665
245631247,Tanguturu,15.3401504,80.0393196
245631741,Kampli,15.4061695,76.604451
245631744,Kanigiri,15.4064336,79.5066283
245631838,Gadag-Betageri,15.4221812,75.6376639
245631851,Annigeri,15.4260116,75.4333351
245631922,Gangavathi,15.4308872,76.5319723
245631974,Dharwad,15.4540505,75.0066516
245632123,Holagunda,15.4884707,77.0462224
245632231,Tekkalakote,15.5337852,76.8772225
245632245,Valpoi,15.531466,74.1372751
245632331,Navalgund,15.5582208,75.3538481
245632375,Kanakagiri,15.5696792,76.4189879
245632380,Naregalla,15.5736978,75.8078454
245632434,Sankhali,15.5626483,74.0114543
245632442,Kitturu,15.5993334,74.7878902
245632505,Adoni,15.6261417,77.2723701
245632509,Yelburga,15.6152511,76.0127786
245632575,Siruguppa,15.6345569,76.8937407
245632682,Ron,15.6996944,75.7349912
245632739,Pernem,15.7166084,73.7972383
245632742,Naragunda,15.7220381,75.3846247
245632803,Gajendragad,15.7322026,75.9644618
245632883,Kushtagi,15.7571579,76.190682
245632887,Turavihala,15.7620689,76.5976263
245632931,Yemmiganuru,15.7680956,77.4819037
245632940,Savadatti,15.7671818,75.1174834
245632954,Sindhanur,15.7692192,76.7549604
245632993,Vetapalem,15.7807768,80.3070955
245633107,Banda,15.8136549,73.8634219
245633115,Bailahongala,15.816422,74.8568692
245633221,Mantralayam,15.9413643,77.4236981
245633278,Munavalli,15.8537336,75.1201998
245633356,Nandikotkur,15.8562,78.27
245633361,Vengurla,15.8619866,73.6321565
245633538,Muragod,15.8910179,74.9310127
245633662,Sawantwadi,15.9079601,73.8205306
245633850,Ilakal,15.9598085,76.11564
245634001,Manvi,15.9967483,77.0481181
245634035,Aiza,16.0154973,77.6665729
245634071,Kudal,16.0087654,73.6871941
245634116,Mudagal,16.012447,76.4410153
245634369,Hunagund,16.0618821,76.0603359
245634631,Kavitala,16.1074146,76.7943062
245634764,Lingasugur,16.1563,76.5242
245634769,Lokapura,16.1627427,75.3685939
245634772,Siravara,16.1753157,77.02154
245634831,Gokak,16.1693033,74.8224338
245634966,Raichur,16.1983225,77.3527444
245635096,Gadahinglaj,16.2236857,74.3515888
245635123,Tenali,16.2377735,80.6464219
245635168,Hukkeri,16.230857,74.6029767
245635270,Sankeshwara,16.2595741,74.4843495
245635276,Kankavali,16.2659486,73.7100588
245635445,Gargoti,16.3159183,74.1442177
245635537,Bilagi,16.3464175,75.6190861
245635541,Muddebihala,16.3351078,76.1339556
245635562,Mudhol,16.3338591,75.2870794
245635719,Vuyyuru,16.3649657,80.8426132
245635855,Mahalingapura,16.3879888,75.1115893
245635917,Nippani,16.4020402,74.3842372
245636037,Devadurga,16.4210218,76.9330038
245636066,Chikkodi,16.4265276,74.5861323
245636099,Gudivada,16.4330413,80.9936856
245636122,Kolahara,16.4719099,75.695105
245636198,Narasapuram,16.4386399,81.7014603
245636222,Hunasagi,16.4579407,76.5170932
245636296,Talikoti,16.474468,76.311706
245636309,Rabakavi Banahatti,16.4787444,75.1201255
245636315,Mangalagiri,16.4318209,80.5688069
245636355,Piduguralla,16.4822329,79.8856947
245636374,Rayabag,16.4916168,74.7741341
245636409,Teradala,16.4936178,75.0468551
245636415,Tadepalle,16.4791081,80.61834
245636426,Jamakhandi,16.503896,75.2910386
245636442,Makhtal,16.5010823,77.5133174
245636545,Surapura,16.5208523,76.7591995
245636573,Kaikaluru,16.5511918,81.213131
245636751,Bhimavaram,16.5427689,81.527344
245636776,Gannavaram,16.5407546,80.8051601
245636833,Gurazala,16.5589293,79.6368235
245636944,Basavana Bagevadi,16.5738547,75.9747123
245636946,Kagal,16.5750891,74.3152571
245637103,Akividu,16.582052,81.3732748
245637218,Dachepalli,16.5932206,79.7363829
245637517,Mummidivaram,16.6442012,82.1078853
245637569,Managoli,16.6523998,75.8127383
245637638,Kembhavi,16.6513126,76.5325062
245637716,Kurundwad,16.6810968,74.5915436
245637781,Shahapura,16.6991627,76.8410045
245638179,Gogi,16.73202,76.747477
245638244,Narayanpet,16.7477612,77.4949954
245638257,Mahbubnagar,16.7434538,77.9923191
245638351,Yadgiri,16.7670964,77.1403984
245638386,Jaysingpur,16.7789886,74.5564244
245638443,Nandigama,16.7734733,80.2855279
245638469,Gurumathakal,16.8679694,77.3929333
245638536,Tadepallegudem,16.8165294,81.5296984
245638591,Devara Hipparagi,16.8159903,76.0650583
245638614,Miraj,16.8190307,74.6432382
245638671,Vijayapura,16.8269911,75.7175387
245638704,Tikota,16.8431559,75.5226828
245638710,Lanja,16.8589596,73.5486886
245638734,Sangli,16.8502534,74.5948885
245638776,Miryalaguda,16.8710119,79.5617353
245638877,Jaggayyapeta,16.8930111,80.098646
245638961,Sindagi,16.9194778,76.2350305
245639040,Vissannapeta,16.9418867,80.783779
245639074,Ashta,16.9452,74.4071
245639211,Kodada,16.9947802,79.9749826
245639254,Ratnagiri,16.9933521,73.2954371
245639328,Jevaragi,17.0121947,76.7752353
245639458,Jath,17.0489913,75.21771
245639466,Wadi,17.0471835,76.9921386
245639494,Nalgonda,17.0504406,79.2669235
245639541,Chintalapudi,17.0687339,80.9848668
245639598,Peddapuram,17.0756736,82.1433164
245639710,Shahabad,17.1241133,76.9418923
245639711,Jangareddygudem,17.1238205,81.2959633
245639719,Chittapura,17.1196144,77.0858642
245639828,Korukonda,17.1687627,81.8297169
245639866,Indi,17.1744599,75.9553764
245639868,Sedam,17.1772683,77.2823552
245639919,Afzalpur,17.2005764,76.3605783
245640004,Kusumanchi,17.225571,79.9554551
245640039,Chityal,17.2314588,79.1293471
245640203,Yeleswaram,17.2872691,82.1052362
245640372,Kalaburagi,17.3310003,76.8334228
245640543,Hyderabad,17.360589,78.4740613
245640661,Maindargi,17.4566199,76.2944772
245640705,Sangole,17.4362688,75.1932291
245640761,Rampachodavaram,17.439828,81.7752354
245640798,Chincholi,17.465199,77.4189669
245640871,Guhagar,17.4838362,73.191061
245640950,Mangalwedha,17.5128795,75.4486224
245640988,Akkalkot,17.5261113,76.2059338
245641002,Chiplun,17.5330311,73.5123013
245641054,Rajavommangi,17.5444104,82.2357592
245641119,Kohir,17.5996678,77.7169218
245641220,Palwancha,17.5976713,80.7057072
245641263,Kamalapura,17.5784274,76.9894251
245641316,Rahimatpur,17.5909766,74.1990559
245641542,Solapur,17.6699734,75.9008118
245641554,Pandharpur,17.677817,75.3340992
245641560,Narsipatnam,17.6711811,82.6124371
245641635,Satara,17.688321,74.0041726
245641713,Koregaon,17.7004918,74.1580401
245641797,Chittaguppa,17.6985069,77.2161692
245641832,Khed,17.7184198,73.3956694
245641840,Visakhapatnam,17.6935526,83.2921297
245641982,Dapoli,17.7580463,73.1887078
245642030,Humanabad,17.7717915,77.128494
245642040,Wardhannapet,17.7733267,79.5761394
245642071,Sabbavaram,17.7905129,83.1244927
245642117,Konta,17.8110113,81.3830211
245642122,Mohol,17.8091566,75.6443849
245642153,Naldurg,17.8149863,76.278965
245642191,Chodavaram,17.8296788,82.9344845
245642240,Tupran,17.8406731,78.4777406
245642264,Umarga,17.8365426,76.6250052
245642266,Chintapalli,17.8706618,82.351824
245642273,Ghanpur,17.8520633,79.3766411
245642298,Gajwel,17.8456745,78.6828741
245642325,Basavakalyan,17.8694654,76.9518062
245642463,Bidar,17.9166022,77.511315
245642504,Panchgani,17.9239543,73.7992681
245642744,Phaltan,17.9907746,74.4298834
245642809,Tuljapur,18.0086617,76.0707924
245642968,Bhalki,18.0484556,77.2176221
245643121,Lasurne,18.0876323,74.7656871
245643248,Indapur,18.1171342,75.0262819
245643279,Vizianagaram,18.1141255,83.4114389
245643475,Paderu,18.0791533,82.6632234
245643509,Nilanga,18.1291893,76.7494127
245643698,Huzurabad,18.2018461,79.3956971
245643711,Parkal,18.1980527,79.7010375
245643899,Ausa,18.2510243,76.500958
245643928,Aurad,18.2548557,77.4151663
245644077,Srikakulam,18.2949307,83.8938844
245644163,Chipurupalle,18.3120723,83.5686458
245644195,Murud,18.3220393,72.9604835
245644386,Malakanagiri,18.3640874,81.8887516
245644515,Sukma,18.3932222,81.6569457
245644553,Udgir,18.3921349,77.1196118
245644568,Sircilla,18.3897573,78.8085973
245644629,Latur,18.3982273,76.5625913
245644748,Narasannapeta,18.4150974,84.0446974
245647444,Salur,18.517553,83.2050385
245648398,Degloor,18.5496593,77.5790877
245649778,Palakonda,18.6036798,83.7559931
245649847,Peddapalli,18.6177235,79.3868069
245650150,Nizamabad,18.6732693,78.0978477
245650182,Mukhed,18.7057087,77.3686564
245650192,Bodhan,18.6536941,77.8936802
245650564,Kaij,18.7141179,76.0651612
245650742,Ambajogai,18.7318232,76.3854836
245650826,Talegaon Dabhade,18.7337107,73.6728593
245651172,Patoda,18.805051,75.4830621
245651372,Palasa-Kasibugga,18.7694542,84.4179944
245651719,Bijapur,18.7935679,80.815939
245651836,Jagtial,18.7957081,78.9161959
245651919,Ashti,18.8035447,75.1714406
245652013,Dharur,18.8204315,76.1137332
245652090,Shirur,18.8265886,74.3725252
245652158,Metpalli,18.8488213,78.6258901
245652255,Parli,18.8485632,76.5297124
245652319,Khed,18.8528676,73.8846758
245652405,Kandhar,18.8718185,77.1924092
245652482,Uran,18.8808,72.9386
245652535,Dharmabad,18.8915074,77.8438253
245656349,Sompeta,18.9424871,84.5839641
245657607,Gangakhed,18.9692648,76.7504256
245658856,Beed,18.9904059,75.7542291
245660150,Wadwani,18.9906344,76.0410132
245662569,Sonpeth,19.0258671,76.4746527
245663676,Neral,19.0266373,73.3181185
245664076,Bellampalli,19.0639032,79.4873121
245669071,Ichchapuram,19.1127045,84.6887188
245669251,Kutru,19.0932122,80.7904019
245669664,Ahilyanagar,19.092952,74.7493451
245678278,Rayagada,19.1696,83.418
245679511,Nabarangapur,19.232359,82.5494484
245683441,Bhiwandi,19.3025562,73.0588072
245683856,Utnur,19.369594,78.7736687
245683866,Asifabad,19.3593461,79.2960404
245683882,Ghodegaon,19.3496722,74.8811801
245683897,Rahuri,19.3891776,74.6499061
245683986,Himayatnagar,19.4259433,77.8768022
