location_id,city,latitude,longitude,temperature,humidity,wind_speed,wind_deg,timestamp
245773092,Kaza,32.2243837,78.0722634,-5.45,45,3.31,273,1766499067
245773102,Pathankot,32.2692452,75.6528858,15.47,51,1.82,334,1766499067
245773120,Nurpur,32.2997393,75.8839627,14.42,52,1.73,41,1766499067
245773310,Samba,32.5622412,75.1165585,15.73,47,1.96,337,1766499067
245773312,Dalhousie,32.5360472,75.9797487,7.3,53,2.61,62,1766499067
245773671,Bhaderwah,32.9783699,75.7185638,5.14,54,1.79,155,1766499067
245773744,Reasi,33.0791771,74.8362947,15.67,48,2.62,50,1766499067
245773788,Nowshera,33.1575063,74.2403875,13.98,47,2.35,328,1766499067
245773899,Kishtwar,33.3107908,75.7694213,8.1,43,1.84,39,1766499067
245773924,Rajouri,33.3772495,74.3132332,12.46,46,1.44,25,1766499067
245773925,Padum,33.4691405,76.8781759,-11.42,63,3.77,200,1766499067
245774078,Kulgam,33.6446899,75.0188432,5.8,67,1.43,253,1766499067
245774323,Tral,33.926549,75.1140382,7.11,54,1.48,67,1766499067
245774328,Kakapora,33.9479845,74.9275781,8.25,62,0.97,210,1766499067
245774418,Badgam,34.0154721,74.7220085,7.58,58,1.32,222,1766499067
245774455,Tangmarg,34.0582559,74.4227543,3.71,72,1.2,179,1766499067
245774476,Uri,34.0878536,74.0305568,9.29,74,2.78,45,1766498924
245774579,Leh,34.1642029,77.5848133,-9.0,55,0.31,295,1766499067
245774767,Ganderbal,34.2163108,74.7695535,8.31,56,1.16,69,1766499067
245774770,Sopore,34.2869124,74.4625673,8.04,56,0.85,245,1766499067
245774950,Handwara,34.3993139,74.2827396,7.19,59,1.77,294,1766499067
245774959,Bandipora,34.4232433,74.635965,7.06,67,2.53,50,1766499067
245775021,Kargil,34.5593048,76.1255767,-1.0,42,1.82,259,1766499067
245845400,Ahmedgarh,30.6772118,75.8258147,16.29,49,3.69,313,1766499067
247229197,Avinashi,11.1907212,77.266879,22.01,58,1.87,113,1766499067
249984401,Mettupalayam,11.3059363,76.9356545,21.29,71,1.69,305,1766499067
256196848,Tambaram,12.9245279,80.1150525,25.05,77,3.6,50,1766498961
256777854,Kanchipuram,12.836393,79.7053304,21.36,72,4.93,40,1766499067
256778069,Walajapet,12.9254734,79.3637892,20.84,71,3.39,54,1766499067
259186488,Kakching,24.4974827,93.9835543,12.81,88,1.12,208,1766499067
263014503,Ranipet,12.9292452,79.3321712,20.8,71,3.08,55,1766499067
263014528,Arcot,12.9078949,79.320393,20.8,71,3.08,55,1766499067
263014723,Gudiyatham,12.9485676,78.8705336,20.21,70,1.89,59,1766499067
263014752,Pernampattu,12.9366728,78.7187469,19.72,70,2.19,47,1766499067
263014753,Pallikondai,12.905489,78.940936,20.23,71,1.87,70,1766499067
263014886,Ambur,12.7874171,78.7188211,19.95,68,1.89,58,1766499067
263014950,Bargur,12.5425826,78.3567173,20.12,59,2.27,48,1766499067
