location_id,city,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Distance_to_Nearest_Road_m,Distance_to_Nearest_Industrial_m,Distance_to_Nearest_Farmland_m,Distance_to_Nearest_Landfill_m,Distance_to_Nearest_Dump_m
245590129,Perambalur,535,0,1,0,0,2.43,,1006.97,,
245590422,Sendurai,9,1,1,0,0,49.52,1142.49,1927.57,,
245589089,Kangeyam,414,3,15,0,0,33.58,770.5,239.76,,
245592145,Pennadam,131,1,0,0,0,19.72,2119.7,,,
245592179,Udhagamandalam,557,2,10,0,0,20.63,1339.18,222.67,,
245589607,Thuraiyur,450,0,2,0,0,1.41,,342.93,,
245595343,Anthiyur,61,0,1,0,0,66.14,,511.34,,
245593619,Gangavalli,112,0,0,0,0,4.64,,,,
245593200,Parangipettai,216,0,0,0,0,5.79,,,,
245591866,Tiruchengodu,874,2,0,0,0,1.71,789.43,,,
245592587,Bhavani,944,0,1,0,0,42.09,,1677.37,,
245589078,Coimbatore,1553,6,1,0,0,0.0,0.0,1762.69,,
245594398,Attayampatti,838,0,0,0,0,2.89,,,,
245598247,Kallakurichi,488,1,5,0,0,27.53,1607.3,955.19,,
245598263,Thiyagadurgam,252,0,0,0,0,0.0,,,,
245598417,Mettur,551,3,0,0,0,32.62,210.35,,,
245598638,Yercaud,104,0,0,0,0,20.01,,,,
245596484,Kalpetta,131,0,12,0,0,0.03,,1423.58,,
245606282,Malavalli,149,0,0,0,0,64.64,,,,
245603249,Kollegal,125,0,0,0,0,29.48,,,,
245605597,Chengam,234,0,0,0,0,39.51,,,,
245607252,Rayakottai,17,0,0,0,0,17.93,,,,
245602307,Yelanduru,18,0,0,0,0,72.61,,,,
245602596,Nileshwaram,213,0,29,0,0,33.48,,627.05,,
245598696,Gundlupet,499,0,2,0,0,17.68,,755.5,,
245607629,Saligrama,77,0,0,0,0,4.17,,,,
245607359,Sulya,31,0,0,0,0,210.39,,,,
245599518,Sankarapuram,197,0,0,0,0,2.35,,,,
245602267,Hanur,121,0,0,0,0,20.06,,,,
245601929,Sreekandapuram,51,1,9,0,0,45.6,773.16,135.48,,
245606122,Cheyur,75,0,0,0,0,0.0,,,,
245606031,Periyapatna,83,0,1,0,0,101.98,,1955.47,,
245608408,Krishnarajapete,21,0,0,0,0,48.58,,,,
245606844,Krishnarajanagara,527,0,0,0,0,67.5,,,,
245601884,Taliparamba,230,1,6,0,0,8.95,577.02,886.08,,
245608560,Subramanya,25,0,0,0,0,58.22,,,,
245607925,Somwarpet,36,0,0,0,0,42.0,,,,
245609115,Vepanapalli,18,0,0,0,0,12.66,,,,
245607635,Jolarpet,170,0,0,0,0,36.37,,,,
245610023,Arkalgud,78,0,0,0,0,33.48,,,,
245608828,Vaniyambadi,682,0,0,0,0,5.3,,,,
245602738,Nanjanagudu,796,1,0,0,0,1.67,2126.5,,,
245608414,Channapattana,545,3,0,0,0,90.17,760.74,,,
245610069,Puttur,248,0,0,0,0,56.73,,,,
245603915,Tiruvannamalai,1154,1,0,0,0,40.7,1424.11,,,
245600130,Puducherry,1398,9,0,0,2,26.55,377.55,,,348.66
245599932,Chamarajanagara,697,2,0,0,0,13.0,746.32,,,
245609255,Ramanagara,818,0,0,0,0,9.26,,,,
245609200,Anekal,1036,2,2,0,0,33.49,304.44,1598.71,,
245610557,Nagamangala,21,0,0,0,0,59.29,,,,
245610098,Holenarasipura,225,0,0,0,0,3.98,,,,
245610394,Ullal,396,0,0,0,0,48.36,,,,
245612139,Sarjapura,577,3,102,0,0,14.05,1408.15,357.1,,
245619208,Kalasa,7,0,0,0,0,111.41,,,,
245618753,Turuvekere,68,0,0,0,0,47.99,,,,
245612228,Shravanabelagola,69,0,0,0,0,25.62,,,,
245616106,Belthangadi,112,0,0,0,0,136.41,,,,
245618783,Mulabagilu,187,0,0,0,0,32.61,,,,
245619070,Karkala,315,0,0,0,0,98.19,,,,
245618812,Belur,163,1,0,0,0,33.13,2178.32,,,
245617692,Mulki,397,0,2,0,0,16.99,,1424.42,,
245616527,Bethamangala,214,1,0,0,0,14.9,42.11,,,
245617423,Moodabidri,225,0,0,0,0,72.52,,,,
245614962,Magadi,191,0,0,0,0,35.12,,,,
245619678,Arasikere,308,1,0,0,0,29.36,1242.15,,,
245617701,Arakkonam,650,3,0,0,0,14.72,1621.54,,,
245616482,Maluru,593,3,4,0,0,36.96,738.39,2061.29,,
245619134,Chittoor,950,2,0,0,0,10.82,510.58,,,
245618507,Kolar,1456,0,3,0,0,41.93,,1441.4,,
245612641,Mangaluru,1088,6,0,0,0,82.82,1076.9,,,
245619852,Chikkamagaluru,1084,1,0,0,0,26.75,1844.61,,,
245617971,Avadi,1584,7,0,0,0,46.68,97.52,,,
245614133,Kolar Gold Fields,1345,3,0,4,0,32.73,1365.98,,589.89,
245620044,Srinivaspur,66,0,0,0,0,68.87,,,,
245620290,Punganuru,28,1,15,0,0,14.65,829.92,186.7,,
245621695,Sakharayapattana,67,0,0,0,0,8.72,,,,
245620767,Chikkanayakanahalli,101,0,0,0,0,61.59,,,,
245621251,Satyavedu,57,1,0,0,0,222.99,222.99,,,
245622252,Koratagere,51,0,0,0,0,1.58,,,,
245622545,Kaduru,456,0,0,0,0,35.77,,,,
245624149,Madhugiri,50,0,0,0,0,28.56,,,,
245624809,Bagepalli,56,0,0,0,0,86.83,,,,
245621763,Hebri,16,0,2,0,0,75.43,,205.75,,
245624497,Tarikere,246,1,0,0,0,5.76,5.76,,,
245622274,Koppa,171,0,0,0,0,80.59,,,,
245623398,Gauribidanuru,210,0,0,0,0,35.05,,,,
245623778,Kundapura,190,2,0,0,0,20.94,1299.21,,,
245621225,Chowdepalle,59,0,0,0,0,9.24,,,,
245620464,Sidlaghatta,285,0,0,0,0,34.98,,,,
245624404,Tirthahalli,179,0,24,0,0,54.83,,87.13,,
245623159,Chandragiri,414,0,0,0,0,7.47,,,,
245623308,Narasimharajapura,38,0,0,0,0,51.63,,,,
245624875,Hosadurga,70,1,0,0,0,50.91,757.22,,,
245625219,Bainduru,20,0,0,0,0,83.2,,,,
245625411,Hosanagara,47,0,4,0,0,59.31,,156.5,,
245625138,Bhadravathi,217,5,0,0,0,102.66,699.86,,,
245620117,Udupi,864,0,5,0,0,11.97,,1290.52,,
245625010,Hindupur,999,2,0,0,0,11.51,682.77,,,
245626213,Penukonda,67,1,0,0,0,35.29,1700.12,,,
245626253,Pavagada,50,0,0,0,0,36.7,,,,
245626754,Talaguppa,14,0,0,0,0,28.96,,,,
245627232,Siralkoppa,63,0,0,0,0,12.47,,,,
245626969,Honnavar,49,2,0,0,0,53.42,656.18,,,
245625497,Madakasira,31,1,0,0,0,106.78,597.72,,,
245626796,Honnali,37,0,0,0,0,5.7,,,,
245626649,Kothacheruvu,37,0,0,0,0,0.0,,,,
245627153,Malebennuru,29,0,0,0,0,36.68,,,,
245627131,Siddapura,24,0,0,0,0,65.57,,,,
245626604,Santebennur,39,0,0,0,0,41.74,,,,
245626123,Murdeshwar,102,0,4,0,0,96.56,,2308.84,,
245626938,Shikaripura,143,0,0,0,0,19.68,,,,
245625591,Venkatagiri,297,1,0,0,0,51.23,1807.85,,,
245625781,Bhatkal,331,0,0,0,0,29.15,,,,
245625922,Channagiri,73,1,0,0,0,24.5,389.36,,,
245626598,Sagara,271,1,0,0,0,25.61,1659.65,,,
245627089,Challakere,629,0,0,0,0,33.27,,,,
245627273,Dharmavaram,1049,1,0,0,0,71.64,709.91,,,
245625473,Shivamogga,1711,0,0,0,0,63.69,,,,
245627362,Kumta,204,0,1,0,0,40.42,,1005.99,,
245627782,Kovur,427,2,0,0,0,11.84,509.12,,,
245628518,Ankola,36,0,0,0,0,59.33,,,,
245629527,Ramapura,19,0,0,0,0,118.17,,,,
245629822,Mundgod,98,0,0,0,0,43.85,,,,
245628453,Byadagi,10,0,0,0,0,4.77,,,,
245629640,Bankapura,25,0,0,0,0,80.27,,,,
