location_id,city,latitude,longitude,PM25 AQ,PM25 AQI Category,PM10 AQ,PM10 AQI Category,CO AQ,CO AQI Category,NO2 AQ,NO2 AQI Category,SO2 AQ,SO2 AQI Category,O3 AQ,O3 AQI Category,AQI,temperature,humidity,wind_speed,wind_deg,timestamp,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Distance_to_Nearest_Road_m,Distance_to_Nearest_Industrial_m,Distance_to_Nearest_Farmland_m,Distance_to_Nearest_Landfill_m,Distance_to_Nearest_Dump_m
7030944118,Sarenga,22.76249,87.0209455,321.94,Very Poor,342.92,Very Poor,898.45,Severe,9.79,Good,12.45,Good,74.07,Satisfactory,5,18.67,32,0.67,322,1766499091,121.0,0.0,0.0,0.0,0.0,17.49,,,,
7047473827,Pandalgudi,9.3920107,78.1044969,38.62,Good,51.8,Satisfactory,374.48,Very Poor,20.43,Good,7.53,Good,67.99,Satisfactory,3,25.17,63,3.42,55,1766499091,36.0,3.0,0.0,0.0,0.0,6.57,177.45,,,
7055317605,Daringbadi,19.9081515,84.1242981,226.04,Poor,239.58,Poor,737.91,Severe,15.19,Good,6.17,Good,80.56,Satisfactory,5,13.37,59,1.42,323,1766499091,17.0,0.0,0.0,0.0,0.0,130.94,,,,
7079349884,Jhadol,24.4167513,73.4801459,90.41,Satisfactory,108.77,Moderate,621.35,Severe,29.12,Good,7.42,Good,60.21,Satisfactory,5,19.4,37,3.06,18,1766499091,11.0,0.0,0.0,0.0,0.0,2.63,,,,
7083979061,Piploda,23.6077519,74.9417138,38.4,Good,45.11,Good,299.15,Poor,6.51,Good,2.79,Good,64.3,Satisfactory,3,19.96,37,2.86,58,1766499091,12.0,0.0,0.0,0.0,0.0,58.61,,,,
7083979062,Bajna,23.3129861,74.6346545,43.19,Good,49.6,Good,333.5,Very Poor,9.17,Good,2.17,Good,62.97,Satisfactory,3,22.2,31,2.41,67,1766499091,11.0,0.0,0.0,0.0,0.0,47.56,,,,
7083979063,Rawti,23.2262622,74.8412061,46.76,Good,53.31,Satisfactory,335.02,Very Poor,8.61,Good,2.06,Good,67.45,Satisfactory,3,22.06,31,3.0,60,1766499091,12.0,0.0,0.0,0.0,0.0,42.0,,,,
7084083055,Ranapur,22.6475713,74.5205212,60.56,Satisfactory,66.34,Satisfactory,327.92,Very Poor,8.13,Good,2.3,Good,69.16,Satisfactory,4,22.14,28,2.85,73,1766499091,46.0,0.0,0.0,0.0,0.0,3.37,,,,
7084370434,Pati,21.9405178,74.7475433,41.91,Good,46.9,Good,260.76,Poor,5.95,Good,4.81,Good,79.48,Satisfactory,3,23.12,30,1.91,141,1766499091,11.0,0.0,0.0,0.0,0.0,48.72,,,,
7089595149,Nafra,27.3716595,92.5450945,52.82,Satisfactory,66.83,Satisfactory,592.99,Severe,20.55,Good,4.49,Good,50.13,Satisfactory,4,11.83,75,0.6,294,1766499091,18.0,0.0,5.0,0.0,0.0,39.64,,1537.69,,
7090349722,Goharganj,23.0264227,77.6746702,43.86,Good,46.57,Good,239.25,Poor,3.62,Good,3.91,Good,77.25,Satisfactory,3,18.34,47,1.65,32,1766499091,8.0,0.0,0.0,0.0,0.0,165.47,,,,
7090652626,Sepau,26.8162578,77.748506,150.99,Moderate,168.51,Moderate,589.08,Severe,14.59,Good,4.16,Good,92.43,Satisfactory,5,18.87,44,1.61,329,1766499091,6.0,0.0,0.0,0.0,0.0,176.21,,,,
7090652627,Baseri,26.7478907,77.5413537,158.13,Moderate,175.18,Moderate,593.71,Severe,14.76,Good,6.62,Good,92.45,Satisfactory,5,19.12,43,1.52,345,1766499091,3.0,0.0,0.0,0.0,0.0,168.57,,,,
7090652629,Jamwa Ramgarh,27.0228991,76.0100376,124.08,Moderate,175.32,Moderate,512.82,Severe,16.02,Good,4.43,Good,87.34,Satisfactory,5,21.88,35,3.17,335,1766499091,17.0,0.0,0.0,0.0,0.0,130.83,,,,
7090652630,Hurda Seja,25.9027189,74.6873975,69.67,Satisfactory,98.96,Satisfactory,337.29,Very Poor,11.13,Good,3.83,Good,86.09,Satisfactory,4,20.42,33,4.03,330,1766499091,2.0,0.0,0.0,0.0,0.0,354.32,,,,
7090677359,Riyan Badi,26.5399894,74.2391038,100.43,Moderate,162.24,Moderate,388.3,Very Poor,10.89,Good,3.87,Good,95.73,Satisfactory,5,19.26,31,3.83,354,1766499091,7.0,0.0,0.0,0.0,0.0,165.36,,,,
7090677360,Balesar,26.3935996,72.4934578,194.67,Moderate,294.54,Poor,673.07,Severe,11.0,Good,4.28,Good,101.99,Moderate,5,20.54,27,5.09,359,1766499091,6.0,0.0,0.0,0.0,0.0,153.14,,,,
7090677361,Dhod,27.4944345,74.9866247,116.02,Moderate,166.88,Moderate,462.12,Severe,7.67,Good,5.85,Good,102.05,Moderate,5,17.09,37,3.51,349,1766499091,144.0,0.0,0.0,0.0,0.0,18.35,,,,
7090702090,Peeplu,26.2983205,75.7133853,106.59,Moderate,140.58,Moderate,381.78,Very Poor,10.75,Good,4.89,Good,96.36,Satisfactory,5,20.38,33,3.67,331,1766499091,87.0,0.0,0.0,0.0,0.0,12.81,,,,
7090718615,Shahbad,30.1661671,76.8678617,166.01,Moderate,195.67,Moderate,889.2,Severe,13.11,Good,9.3,Good,116.37,Moderate,5,17.1,52,3.75,300,1766499091,629.0,5.0,0.0,0.0,0.0,10.25,588.22,,,
7090722532,Bhopalsagar,24.8570795,74.2088163,62.27,Satisfactory,73.38,Satisfactory,386.92,Very Poor,13.34,Good,3.58,Good,65.58,Satisfactory,4,19.69,35,3.5,338,1766499091,4.0,0.0,0.0,0.0,0.0,76.53,,,,
7090767071,Unjha,23.8042717,72.3912763,85.52,Satisfactory,108.71,Moderate,404.02,Severe,12.77,Good,7.37,Good,87.33,Satisfactory,5,21.83,36,2.97,341,1766499091,724.0,2.0,0.0,0.0,0.0,75.0,1487.74,,,
7090767302,Matenhail,28.5778891,76.4681053,171.14,Moderate,219.46,Poor,751.76,Severe,17.12,Good,5.7,Good,91.71,Satisfactory,5,17.7,36,3.96,293,1766499091,10.0,0.0,0.0,0.0,0.0,143.67,,,,
7090767304,Israna,29.2781827,76.8508243,172.42,Moderate,207.47,Poor,775.78,Severe,14.22,Good,6.61,Good,100.33,Moderate,5,17.64,40,3.55,303,1766499091,190.0,0.0,0.0,0.0,0.0,14.78,,,,
7090772207,Barara,30.2142228,77.0383644,160.36,Moderate,186.33,Moderate,926.37,Severe,14.02,Good,9.09,Good,107.63,Moderate,5,16.93,54,3.93,295,1766499091,214.0,0.0,0.0,0.0,0.0,78.77,,,,
7090798459,Vaso,22.6609576,72.7553379,88.97,Satisfactory,100.52,Moderate,449.96,Severe,9.25,Good,5.98,Good,110.87,Moderate,5,22.57,33,2.92,36,1766499091,189.0,0.0,0.0,0.0,0.0,33.73,,,,
7090835717,Chuda,22.4815114,71.6881728,50.33,Satisfactory,56.84,Satisfactory,297.66,Poor,7.13,Good,4.48,Good,94.3,Satisfactory,4,25.0,30,3.87,28,1766499091,125.0,0.0,0.0,0.0,0.0,55.0,,,,
7091334786,Daloda,23.9516654,75.1031828,29.79,Good,35.56,Good,257.92,Poor,4.66,Good,2.9,Good,62.69,Satisfactory,3,20.45,36,1.81,92,1766499091,233.0,0.0,0.0,0.0,0.0,5.77,,,,
7091335075,Shamgarh,24.1877674,75.6380582,35.52,Good,41.93,Good,318.51,Very Poor,10.63,Good,2.82,Good,48.77,Good,3,20.82,37,1.87,73,1766499091,11.0,0.0,0.0,0.0,0.0,69.04,,,,
7093240553,Bamori,24.8526208,77.1391296,66.3,Satisfactory,73.92,Satisfactory,324.14,Very Poor,10.62,Good,9.73,Good,56.42,Satisfactory,4,18.4,43,2.78,337,1766499091,80.0,0.0,0.0,0.0,0.0,1.31,,,,
7093248552,Shadhora,24.6235337,77.5940322,51.36,Satisfactory,59.0,Satisfactory,297.88,Poor,7.77,Good,7.66,Good,54.9,Satisfactory,4,18.52,40,2.82,335,1766499091,28.0,0.0,0.0,0.0,0.0,9.0,,,,
7093268646,Misrikh,27.4326561,80.5315179,268.08,Poor,286.81,Poor,1026.64,Severe,12.1,Good,3.89,Good,75.55,Satisfactory,5,18.88,45,3.58,275,1766499091,3.0,1.0,0.0,0.0,0.0,357.67,2421.9,,,
7093268649,Patiyali,27.6900264,78.9978361,203.04,Poor,227.93,Poor,977.3,Severe,18.54,Good,5.95,Good,63.87,Satisfactory,5,19.22,41,3.99,280,1766499091,9.0,0.0,0.0,0.0,0.0,161.04,,,,
7093268650,Bilsi,28.1277056,78.9092159,220.82,Poor,249.38,Poor,1173.47,Severe,24.59,Good,7.88,Good,55.55,Satisfactory,5,18.71,40,3.98,290,1766499091,8.0,0.0,0.0,0.0,0.0,286.12,,,,
7093268651,Meerganj,28.5399127,79.2077565,273.24,Poor,297.01,Poor,1306.5,Severe,19.95,Good,8.9,Good,91.9,Satisfactory,5,18.99,35,4.41,289,1766499091,7.0,1.0,0.0,0.0,0.0,78.15,1063.92,,,
