city_x,PM25 AQ,PM25 AQI Category,PM10 AQ,PM10 AQI Category,CO AQ,CO AQI Category,NO2 AQ,NO2 AQI Category,SO2 AQ,SO2 AQI Category,O3 AQ,O3 AQI Category,AQI,location_id,temperature,humidity,wind_speed,wind_deg,timestamp,hour,day_of_week,month,season,city_y,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Distance_to_Nearest_Road_m,Distance_to_Nearest_Industrial_m,Distance_to_Nearest_Farmland_m,Distance_to_Nearest_Landfill_m,Distance_to_Nearest_Dump_m,latitude,longitude
Sahnewal,0.20368343506630185,Moderate,0.2137272402713317,Moderate,0.268275740961152,Severe,0.13997181775481443,Good,0.07113663978791561,Good,0.3982158458637973,Satisfactory,5,243416825,0.7123287671232876,0.3589743589743589,0.4464285714285714,0.8333333333333334,1970-01-01 00:00:01.766499058,0,3,1,1,Sahnewal,764.0,5.0,0.0,0.0,0.0,11.0,784.33,814.3299999999999,894.22,340.4,30.8402061,75.983601
Vellore,0.0705114712692065,Good,0.07657979293109606,Good,0.08677294101578505,Very Poor,0.16592296852982616,Good,0.08461283552413564,Good,0.34023083643720975,Satisfactory,3,243713144,0.8075226375667518,0.641025641025641,0.23809523809523808,0.19166666666666668,1970-01-01 00:00:01.766499058,0,3,1,1,Vellore,1357.0,1.0,0.0,0.0,0.0,62.56,355.22,814.3299999999999,894.22,340.4,12.9071753,79.1309695
Jagraon,0.19793727636287098,Satisfactory,0.21395930024991078,Moderate,0.2792960137363173,Severe,0.15476749647721932,Good,0.05589307411907654,Good,0.37214328413114456,Satisfactory,5,243859333,0.7093104248897144,0.3076923076923077,0.4071428571428571,0.8583333333333334,1970-01-01 00:00:01.766499058,0,3,1,1,Jagraon,609.0,0.0,0.0,0.0,0.0,13.69,916.48,814.3299999999999,894.22,340.4,30.8041704,75.4753645
Gill,0.20368343506630185,Moderate,0.2137272402713317,Moderate,0.268275740961152,Severe,0.13997181775481443,Good,0.07113663978791561,Good,0.3982158458637973,Satisfactory,5,243869887,0.7107035059205944,0.34615384615384615,0.44047619047619047,0.8388888888888889,1970-01-01 00:00:01.766499058,0,3,1,1,Gill,1803.0,0.0,0.0,0.0,0.0,4.45,916.48,814.3299999999999,894.22,340.4,30.846374,75.8628312
Dehlon,0.22012207956219743,Moderate,0.23052481256694043,Moderate,0.27957308150084875,Severe,0.15629403475810236,Good,0.0732353915829007,Good,0.4054352324458546,Satisfactory,5,245133391,0.7116322266078478,0.34615384615384615,0.4380952380952381,0.8583333333333334,1970-01-01 00:00:01.766499058,0,3,1,1,Dehlon,300.0,1.0,0.0,0.0,0.0,2.71,1958.21,814.3299999999999,894.22,340.4,30.7431327,75.8505198
Nagercoil,0.04794780046306041,Good,0.05744377008211353,Good,0.024436596359095432,Moderate,0.01139032409581963,Good,0.03137081630398762,Good,0.44300363268496806,Moderate,3,245580128,0.8794984908288832,0.6666666666666666,0.21428571428571427,0.01388888888888889,1970-01-01 00:00:01.766499058,0,3,1,1,Nagercoil,1074.0,2.0,9.0,0.0,0.0,7.3,297.27,1075.01,894.22,340.4,8.1839904,77.4315437
Nanguneri,0.05299936855398865,Good,0.06199571581578009,Good,0.028900899494644,Moderate,0.01596993893846876,Good,0.03369048934055009,Good,0.4471881179013198,Moderate,3,245581303,0.8632458788019503,0.7307692307692307,0.24523809523809523,0.09444444444444444,1970-01-01 00:00:01.766499058,0,3,1,1,Nanguneri,66.0,1.0,0.0,0.0,0.0,59.93,2216.56,814.3299999999999,894.22,340.4,8.4892568,77.6596709
Thiruvananthapuram,0.12351083982319515,Satisfactory,0.11590503391645843,Satisfactory,0.05028584808101305,Poor,0.007632691404415216,Good,0.01955152987959792,Good,0.5261415367636915,Moderate,4,245581432,0.9828186672858138,0.6666666666666666,0.18333333333333332,0.75,1970-01-01 00:00:01.766498667,0,3,1,1,Thiruvananthapuram,2502.0,4.0,2.0,0.0,1.0,3.54,432.06,1793.39,894.22,2021.47,8.4882267,76.947551
Nazareth,0.04460113660282046,Good,0.055069617993573725,Good,0.027453122865895296,Moderate,0.01761390324095819,Good,0.03269634375345189,Good,0.4255299581551479,Moderate,3,245581609,0.9071279312746692,0.6538461538461539,0.530952380952381,0.16111111111111112,1970-01-01 00:00:01.766499058,0,3,1,1,Nazareth,104.0,0.0,0.0,0.0,0.0,100.17,916.48,814.3299999999999,894.22,340.4,8.5599258,77.9719457
Vikramasingapuram,0.09206482845716692,Good,0.09321670831845771,Satisfactory,0.04140797252736532,Moderate,0.013856270549553778,Good,0.030597591958466803,Good,0.49960914149078034,Moderate,3,245581822,0.8818202925470164,0.6538461538461539,0.1952380952380952,0.25833333333333336,1970-01-01 00:00:01.766499058,0,3,1,1,Vikramasingapuram,213.0,1.0,0.0,0.0,0.0,24.67,1426.02,814.3299999999999,894.22,340.4,8.7141792,77.3892867
Tirunelveli,0.06059776889075985,Good,0.0690824705462335,Good,0.03351739478254083,Moderate,0.021723813997181773,Good,0.03678338672263338,Good,0.45431553777532535,Moderate,3,245581857,0.8948223821685628,0.6666666666666666,0.3369047619047619,0.225,1970-01-01 00:00:01.766499045,0,3,1,1,Tirunelveli,657.0,1.0,0.0,0.0,0.0,8.74,882.42,814.3299999999999,894.22,340.4,8.7284271,77.7112925
Alwarkuruchi,0.09206482845716692,Good,0.09321670831845771,Satisfactory,0.04140797252736532,Moderate,0.013856270549553778,Good,0.030597591958466803,Good,0.49960914149078034,Moderate,3,245581905,0.8929649407940562,0.6282051282051282,0.21666666666666667,0.26944444444444443,1970-01-01 00:00:01.766499058,0,3,1,1,Alwarkuruchi,58.0,1.0,2.0,0.0,0.0,9.68,391.61,391.85,894.22,340.4,8.782604,77.3985651
Kollam,0.1541780677752052,Satisfactory,0.14041413780792578,Satisfactory,0.06294511326608261,Poor,0.005401596993893846,Good,0.018667844913288413,Good,0.5492711638386903,Moderate,5,245582090,0.9257023450197354,0.5512820512820512,0.060714285714285714,0.8388888888888889,1970-01-01 00:00:01.766499058,0,3,1,1,Kollam,1049.0,7.0,0.0,0.0,0.0,15.27,161.31,814.3299999999999,894.22,340.4,8.8870533,76.5906696
Ayoor,0.1454851610187329,Satisfactory,0.13239914316315604,Satisfactory,0.05877738970946908,Poor,0.005049318929074682,Good,0.017452778084612833,Good,0.5483514967581735,Moderate,4,245582136,0.828186672858138,0.7435897435897435,0.0488095238095238,0.10555555555555556,1970-01-01 00:00:01.766499058,0,3,1,1,Ayoor,46.0,0.0,5.0,0.0,0.0,19.9,916.48,1727.17,894.22,340.4,8.8978612,76.8601206
Kulathupuzha,0.12376341822774155,Satisfactory,0.11711888611210286,Satisfactory,0.05229556496458605,Poor,0.010333489901362142,Good,0.02452225781508892,Good,0.529774221731733,Moderate,4,245582143,0.8397956814488043,0.717948717948718,0.024999999999999998,0.125,1970-01-01 00:00:01.766499058,0,3,1,1,Kulathupuzha,61.0,0.0,1.0,0.0,0.0,61.31,916.48,782.86,894.22,340.4,8.9065347,77.0564917
Tenkasi,0.1020206272363713,Satisfactory,0.10183862906104965,Satisfactory,0.045809837856822314,Poor,0.015735086895255986,Good,0.031591737545565005,Good,0.5111969467052927,Moderate,4,245582256,0.8841420942651498,0.5897435897435898,0.1880952380952381,0.2111111111111111,1970-01-01 00:00:01.766498947,0,3,1,1,Tenkasi,336.0,0.0,13.0,0.0,0.0,25.78,916.48,187.76,894.22,340.4,8.9557896,77.3072559
