city_x,PM25 AQ,PM25 AQI Category,PM10 AQ,PM10 AQI Category,CO AQ,CO AQI Category,NO2 AQ,NO2 AQI Category,SO2 AQ,SO2 AQI Category,O3 AQ,O3 AQI Category,AQI,location_id,temperature,humidity,wind_speed,wind_deg,timestamp,hour,day_of_week,month,season,city_y,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Distance_to_Nearest_Road_m,Distance_to_Nearest_Industrial_m,Distance_to_Nearest_Farmland_m,Distance_to_Nearest_Landfill_m,Distance_to_Nearest_Dump_m,latitude,longitude,Pollution_Source
Nazareth,0.0446011366028204,Good,0.0550696179935737,Good,0.0274531228658952,Moderate,0.0176139032409581,Good,0.0326963437534518,Good,0.4255299581551479,Moderate,3,245581609,0.9071279312746692,0.6538461538461539,0.530952380952381,0.1611111111111111,1970-01-01 00:00:01.766499058,0,3,1,Winter,Nazareth,104.0,0.0,0.0,0.0,0.0,100.17,916.48,814.3299999999999,894.22,340.4,8.5599258,77.9719457,Natural
Vikramasingapuram,0.0920648284571669,Good,0.0932167083184577,Satisfactory,0.0414079725273653,Moderate,0.0138562705495537,Good,0.0305975919584668,Good,0.4996091414907803,Moderate,3,245581822,0.8818202925470164,0.6538461538461539,0.1952380952380952,0.2583333333333333,1970-01-01 00:00:01.766499058,0,3,1,Winter,Vikramasingapuram,213.0,1.0,0.0,0.0,0.0,24.67,1426.02,814.3299999999999,894.22,340.4,8.7141792,77.3892867,Natural
Tirunelveli,0.0605977688907598,Good,0.0690824705462335,Good,0.0335173947825408,Moderate,0.0217238139971817,Good,0.0367833867226333,Good,0.4543155377753253,Moderate,3,245581857,0.8948223821685628,0.6666666666666666,0.3369047619047619,0.225,1970-01-01 00:00:01.766499045,0,3,1,Winter,Tirunelveli,657.0,1.0,0.0,0.0,0.0,8.74,882.42,814.3299999999999,894.22,340.4,8.7284271,77.7112925,Natural
Alwarkuruchi,0.0920648284571669,Good,0.0932167083184577,Satisfactory,0.0414079725273653,Moderate,0.0138562705495537,Good,0.0305975919584668,Good,0.4996091414907803,Moderate,3,245581905,0.8929649407940562,0.6282051282051282,0.2166666666666666,0.2694444444444444,1970-01-01 00:00:01.766499058,0,3,1,Winter,Alwarkuruchi,58.0,1.0,2.0,0.0,0.0,9.68,391.61,391.85,894.22,340.4,8.782604,77.3985651,Natural
Kollam,0.1541780677752052,Satisfactory,0.1404141378079257,Satisfactory,0.0629451132660826,Poor,0.0054015969938938,Good,0.0186678449132884,Good,0.5492711638386903,Moderate,5,245582090,0.9257023450197354,0.5512820512820512,0.0607142857142857,0.8388888888888889,1970-01-01 00:00:01.766499058,0,3,1,Winter,Kollam,1049.0,7.0,0.0,0.0,0.0,15.27,161.31,814.3299999999999,894.22,340.4,8.8870533,76.5906696,Natural
Ayoor,0.1454851610187329,Satisfactory,0.132399143163156,Satisfactory,0.058777389709469,Poor,0.0050493189290746,Good,0.0174527780846128,Good,0.5483514967581735,Moderate,4,245582136,0.828186672858138,0.7435897435897435,0.0488095238095238,0.1055555555555555,1970-01-01 00:00:01.766499058,0,3,1,Winter,Ayoor,46.0,0.0,5.0,0.0,0.0,19.9,916.48,1727.17,894.22,340.4,8.8978612,76.8601206,Natural
Kulathupuzha,0.1237634182277415,Satisfactory,0.1171188861121028,Satisfactory,0.052295564964586,Poor,0.0103334899013621,Good,0.0245222578150889,Good,0.529774221731733,Moderate,4,245582143,0.8397956814488043,0.717948717948718,0.0249999999999999,0.125,1970-01-01 00:00:01.766499058,0,3,1,Winter,Kulathupuzha,61.0,0.0,1.0,0.0,0.0,61.31,916.48,782.86,894.22,340.4,8.9065347,77.0564917,Natural
Tenkasi,0.1020206272363713,Satisfactory,0.1018386290610496,Satisfactory,0.0458098378568223,Poor,0.0157350868952559,Good,0.031591737545565,Good,0.5111969467052927,Moderate,4,245582256,0.8841420942651498,0.5897435897435898,0.1880952380952381,0.2111111111111111,1970-01-01 00:00:01.766498947,0,3,1,Winter,Tenkasi,336.0,0.0,13.0,0.0,0.0,25.78,916.48,187.76,894.22,340.4,8.9557896,77.3072559,Natural
Kottarakkara,0.1390654599031782,Satisfactory,0.1275437343805784,Satisfactory,0.0581334998341495,Poor,0.005753875058713,Good,0.0224235060201038,Good,0.5402124430955993,Moderate,4,245582478,0.8356164383561644,0.7307692307692307,0.0654761904761904,0.1916666666666666,1970-01-01 00:00:01.766499058,0,3,1,Winter,Kottarakkara,241.0,0.0,21.0,0.0,0.0,3.87,916.48,117.99,894.22,340.4,9.0054869,76.7831987,Natural
Vilattikulam,0.0571669122290044,Good,0.0686004998214923,Good,0.0745936664650445,Poor,0.1406763738844527,Good,0.0625207113663978,Good,0.3285050811606199,Satisfactory,3,245582675,0.911307174367309,0.6025641025641025,0.5464285714285714,0.2,1970-01-01 00:00:01.766499058,0,3,1,Winter,Vilattikulam,33.0,0.0,0.0,0.0,0.0,0.0,916.48,814.3299999999999,894.22,340.4,9.130928,78.167316,Natural
