City,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Recycling_Count,Green_Area_Count
Albolote,1022,18,634,0,14,57,19
Alboraya,1096,9,2175,0,8,19,1
Albox,0,0,0,0,0,0,0
Albstadt,252,0,10,0,0,5,66
Albufeira,1066,1,2,0,2,17,56
Albuquerque,1040,36,0,0,11,1,10
Albury,0,0,0,0,0,0,0
Alcabideche,937,35,55,1,7,15,698
Alcala De Guadaira,0,0,0,0,0,0,0
Alcala De Henares,1843,19,16,0,2,32,36
Alcala La Real,378,2,16,0,0,4,17
Alcamo,777,2,22,1,0,0,2
Alcaniz,508,4,0,0,0,4,4
Alcantarilla,1096,44,2,0,5,0,0
Alcaudete,0,0,0,0,0,0,0
Alcazar De San Juan,785,5,24,0,6,7,7
Alcobendas,0,0,0,0,0,0,0
Alcorcon,1336,23,2,0,5,64,3
Alcudia,530,11,18,0,15,25,26
Aldama,89,1,0,0,0,0,0
Aldan,201,39,1,0,0,0,88
Aldeia De Paio Pires,0,0,0,0,0,0,0
Aldenhoven,324,17,114,0,0,17,105
Aldergrove,54,1,0,0,0,0,28
Aldershot,0,0,0,0,0,0,0
Alderwood Manor,0,0,0,0,0,0,0
Aldine,366,0,1,0,0,0,9
Alegre,367,1,8,0,0,0,70
Alegrete,729,6,34,0,0,0,173
Aleksandriya,36,1,2,0,0,0,2
Aleksandriyskaya,59,2,7,0,0,0,26
Aleksandrov,372,40,0,0,3,1,112
Aleksandrovsk,379,8,0,2,16,1,13
Aleksandrovsk Sakhalinskiy,127,4,0,0,0,0,13
Aleksandrovskoye,134,15,1,0,0,0,130
Aleksandrow Kujawski,0,0,0,0,0,0,0
Aleksandrow Lodzki,0,0,0,0,0,0,0
Alekseyevka,0,0,0,0,0,0,0
Aleksin,0,0,0,0,0,0,0
Aleksinac,522,7,11,0,56,0,6
Alem Paraiba,468,0,0,0,0,0,42
Alencon,1296,9,15,1,2,49,79
Alenquer,413,29,2,0,0,13,20
