location_id,location_name,sensor_id,pollutant_name,value,unit,latitude,longitude,timestamp_utc,hour,day,month,day_of_week,source_label,country,source
50,"Punjabi Bagh, Delhi - DPCC",12234793,no2,38.7,ppb,28.674045,77.131023,,,,,,Unknown,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",400,no2,143.2,µg/m³,28.674045,77.131023,,,,,,Vehicular,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",400,no2,145.2,µg/m³,28.674045,77.131023,,,,,,Vehicular,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",400,no2,146.6,µg/m³,28.674045,77.131023,,,,,,Vehicular,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",400,no2,144.6,µg/m³,28.674045,77.131023,,,,,,Vehicular,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",400,no2,134.9,µg/m³,28.674045,77.131023,,,,,,Vehicular,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",71,o3,10.5,µg/m³,28.674045,77.131023,,,,,,Unknown,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",71,o3,14.2,µg/m³,28.674045,77.131023,,,,,,Unknown,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",71,o3,17.6,µg/m³,28.674045,77.131023,,,,,,Unknown,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",71,o3,16.8,µg/m³,28.674045,77.131023,,,,,,Unknown,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",71,o3,17.5,µg/m³,28.674045,77.131023,,,,,,Unknown,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",12234794,o3,1.8,µg/m³,28.674045,77.131023,,,,,,Unknown,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",12234794,o3,2.2,µg/m³,28.674045,77.131023,,,,,,Unknown,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",12234794,o3,1.3,µg/m³,28.674045,77.131023,,,,,,Unknown,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",12234794,o3,1.5,µg/m³,28.674045,77.131023,,,,,,Unknown,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",12234795,pm10,194.0,µg/m³,28.674045,77.131023,,,,,,Agricultural,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",12234795,pm10,168.0,µg/m³,28.674045,77.131023,,,,,,Agricultural,IN,OpenAQ v3
