city,location_id,location_name,sensor_id,pollutant,value,unit,latitude,longitude,timestamp_utc,country,source
,17,"R K Puram, Delhi - DPCC",12234787,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",97.0,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",35,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",195.0,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",35,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",195.0,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",35,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",252.0,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",35,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",252.0,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",35,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",252.0,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",393,"{'id': 6, 'name': 'so2', 'units': 'µg/m³', 'displayName': None}",53.2,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",393,"{'id': 6, 'name': 'so2', 'units': 'µg/m³', 'displayName': None}",54.6,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",393,"{'id': 6, 'name': 'so2', 'units': 'µg/m³', 'displayName': None}",54.6,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",393,"{'id': 6, 'name': 'so2', 'units': 'µg/m³', 'displayName': None}",57.5,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",393,"{'id': 6, 'name': 'so2', 'units': 'µg/m³', 'displayName': None}",63.5,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",12234789,"{'id': 101, 'name': 'so2', 'units': 'ppb', 'displayName': None}",37.5,,28.563262,77.186937,,IN,OpenAQ v3
