location_id,location_name,sensor_id,parameter,parameter_original,parameter_display,value,unit,datetime_utc,datetime_local,latitude,longitude
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.85,µg/m³,2025-11-15T00:30:00Z,2025-11-15T06:00:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.2,µg/m³,2025-11-15T00:45:00Z,2025-11-15T06:15:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.02,µg/m³,2025-11-15T01:00:00Z,2025-11-15T06:30:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,22.91,µg/m³,2025-11-15T01:15:00Z,2025-11-15T06:45:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,22.83,µg/m³,2025-11-15T01:30:00Z,2025-11-15T07:00:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,24.06,µg/m³,2025-11-15T01:45:00Z,2025-11-15T07:15:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.11,µg/m³,2025-11-15T02:00:00Z,2025-11-15T07:30:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.53,µg/m³,2025-11-15T02:30:00Z,2025-11-15T08:00:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.27,µg/m³,2025-11-15T02:45:00Z,2025-11-15T08:15:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.96,µg/m³,2025-11-15T03:00:00Z,2025-11-15T08:30:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,22.04,µg/m³,2025-11-15T03:15:00Z,2025-11-15T08:45:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,22.9,µg/m³,2025-11-15T03:30:00Z,2025-11-15T09:00:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,22.77,µg/m³,2025-11-15T03:45:00Z,2025-11-15T09:15:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,22.84,µg/m³,2025-11-15T04:00:00Z,2025-11-15T09:30:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.91,µg/m³,2025-11-15T04:15:00Z,2025-11-15T09:45:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,22.09,µg/m³,2025-11-15T04:30:00Z,2025-11-15T10:00:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,22.9,µg/m³,2025-11-15T04:45:00Z,2025-11-15T10:15:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.25,µg/m³,2025-11-15T05:00:00Z,2025-11-15T10:30:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.6,µg/m³,2025-11-15T05:15:00Z,2025-11-15T10:45:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,22.81,µg/m³,2025-11-15T05:45:00Z,2025-11-15T11:15:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,22.02,µg/m³,2025-11-15T06:00:00Z,2025-11-15T11:30:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,22.93,µg/m³,2025-11-15T06:15:00Z,2025-11-15T11:45:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,24.07,µg/m³,2025-11-15T06:30:00Z,2025-11-15T12:00:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.4,µg/m³,2025-11-15T06:45:00Z,2025-11-15T12:15:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.4,µg/m³,2025-11-15T07:00:00Z,2025-11-15T12:30:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,22.93,µg/m³,2025-11-15T07:15:00Z,2025-11-15T12:45:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.52,µg/m³,2025-11-15T07:30:00Z,2025-11-15T13:00:00+05:30,12.9135218,77.5950804
